HGNC	criteria
HRAS	'Association of genetic variants and gene expression levels with longevity'
HSD11B1	'Age-related changes in gene expression, methylation or protein activity in humans'
HSD17B6	'Age-related changes in gene expression, methylation or protein activity in humans'
HSD17B7	'Age-related changes in gene expression, methylation or protein activity'
HSD17B7	'Age-related changes in gene expression, methylation or protein activity in humans'
HSF1	'Changes in gene activity extend non-mammalian lifespan'
HSF1	'Changes in gene activity reduce non-mammalian lifespan'
HSF1	'Changes in gene activity protect against age-related impairment'
HSF2	'Age-related changes in gene expression, methylation or protein activity in humans'
HSP90AA1	'Age-related changes in gene expression, methylation or protein activity'
HSP90AA1	'Regulation of genes associated with aging'
HSP90AB1	'Age-related changes in gene expression, methylation or protein activity in humans'
HSP90B1	'Age-related changes in gene expression, methylation or protein activity in humans'
HSPA13	'Age-related changes in gene expression, methylation or protein activity in humans'
HSPA14	'Association of genetic variants and gene expression levels with longevity'
HSPA1A	'Changes in gene activity extend mammalian lifespan'
HSPA1A	'Age-related changes in gene expression, methylation or protein activity in humans'
HSPA1A	'Changes in gene activity protect against age-related impairment'
HSPA1A	'Association of genetic variants and gene expression levels with longevity'
HSPA1B	'Changes in gene activity extend mammalian lifespan'
HSPA1B	'Age-related changes in gene expression, methylation or protein activity in humans'
HSPA1B	'Changes in gene activity protect against age-related impairment'
HSPA2	'Age-related changes in gene expression, methylation or protein activity in humans'
HSPA8	'Age-related changes in gene expression, methylation or protein activity in humans'
HSPA9	'Changes in gene activity extend non-mammalian lifespan'
HSPA9	'Changes in gene activity reduce non-mammalian lifespan'
HSPB8	'Age-related changes in gene expression, methylation or protein activity in humans'
HSPD1	'Age-related changes in gene expression, methylation or protein activity'
HTATSF1	'Age-related changes in gene expression, methylation or protein activity in humans'
HTR1B	'Changes in gene activity reduce mammalian lifespan'
HTR1B	'Changes in gene activity enhance age-related deterioration'
HTR2A	'Age-related changes in gene expression, methylation or protein activity in humans'
HTR3B	'Association of genetic variants and gene expression levels with longevity'
HTRA1	'Age-related changes in gene expression, methylation or protein activity in humans'
HTRA2	'Age-related changes in gene expression, methylation or protein activity'
HTRA2	'Changes in gene activity reduce mammalian lifespan'
HTRA2	'Changes in gene activity enhance age-related deterioration'
HTT	'Changes in gene activity extend mammalian lifespan'
HTT	'Changes in gene activity protect against age-related impairment'
HTT	'Regulation of genes associated with aging'
HTT	'Association of genetic variants and gene expression levels with longevity'
HYI	'Age-related changes in gene expression, methylation or protein activity in humans'
HYKK	'Association of genetic variants and gene expression levels with longevity'
HYPK	'Age-related changes in gene expression, methylation or protein activity in humans'
ICAM1	'Association of genetic variants and gene expression levels with longevity'
ICAM1	'Age-related changes in gene expression, methylation or protein activity in humans'
ICAM2	'Age-related changes in gene expression, methylation or protein activity in humans'
ID2	'Age-related changes in gene expression, methylation or protein activity in humans'
IDE	'Association of genetic variants and gene expression levels with longevity'
IDH1	'Age-related changes in gene expression, methylation or protein activity in humans'
IDH3A	'Age-related changes in gene expression, methylation or protein activity in humans'
IDS	'Age-related changes in gene expression, methylation or protein activity in humans'
IFI16	'Age-related changes in gene expression, methylation or protein activity in humans'
IFNAR1	'Changes in gene activity protect against age-related impairment'
IFNG	'Age-related changes in gene expression, methylation or protein activity'
IFNG	'Age-related changes in gene expression, methylation or protein activity in humans'
IFNG	'Regulation of genes associated with aging'
IGBP1	'Age-related changes in gene expression, methylation or protein activity in humans'
IGF1	'Age-related changes in gene expression, methylation or protein activity in humans'
IGF1	'Regulation of genes associated with aging'
IGF1	'Changes in gene activity extend mammalian lifespan'
IGF1	'Changes in gene activity protect against age-related impairment'
IGF1	'Changes in gene activity reduce mammalian lifespan'
IGF1	'Changes in gene activity enhance age-related deterioration'
IGF1	'Changes in gene activity extend non-mammalian lifespan'
IGF1R	'Changes in gene activity extend non-mammalian lifespan'
IGF1R	'Changes in gene activity extend mammalian lifespan'
IGF1R	'Changes in gene activity protect against age-related impairment'
IGF1R	'Association of genetic variants and gene expression levels with longevity'
IGF1R	'Age-related changes in gene expression, methylation or protein activity in humans'
IGF1R	'Age-related changes in gene expression, methylation or protein activity'
IGF1R	'Changes in gene activity reduce non-mammalian lifespan'
IGF1R	'Regulation of genes associated with aging'
IGF2	'Age-related changes in gene expression, methylation or protein activity'
IGF2	'Association of genetic variants and gene expression levels with longevity'
IGF2	'Changes in gene activity extend non-mammalian lifespan'
IGF2R	'Association of genetic variants and gene expression levels with longevity'
IGFBP2	'Changes in gene activity extend mammalian lifespan'
IGFBP2	'Age-related changes in gene expression, methylation or protein activity in humans'
IGFBP2	'Age-related changes in gene expression, methylation or protein activity'
IGFBP3	'Age-related changes in gene expression, methylation or protein activity'
